year,intent,count,,,,,,
2006,Accidental,606,,,,,,"{year: 2006, intent: ""Accidental"", count: 606 }"
2006,Homicide,12082,,,,,,"{year: 2006, intent: ""Homicide"", count: 12082 }"
2006,Suicide,16049,,,,,,"{year: 2006, intent: ""Suicide"", count: 16049 }"
2006,Undetermined,209,,,,,,"{year: 2006, intent: ""Undetermined"", count: 209 }"
2007,Accidental,571,,,,,,"{year: 2007, intent: ""Accidental"", count: 571 }"
2007,Homicide,11691,,,,,,"{year: 2007, intent: ""Homicide"", count: 11691 }"
2007,Suicide,16384,,,,,,"{year: 2007, intent: ""Suicide"", count: 16384 }"
2007,Undetermined,259,,,,,,"{year: 2007, intent: ""Undetermined"", count: 259 }"
2008,Accidental,536,,"year: 2008, intent: ""Accidental"", count: 536 }",,,,"{year: 2008, intent: ""Accidental"", count: 536 }"
2008,Homicide,11176,,,,,,"{year: 2008, intent: ""Homicide"", count: 11176 }"
2008,Suicide,17177,,,,,,"{year: 2008, intent: ""Suicide"", count: 17177 }"
2008,Undetermined,252,,,,,,"{year: 2008, intent: ""Undetermined"", count: 252 }"
2009,Accidental,514,,,,,,"{year: 2009, intent: ""Accidental"", count: 514 }"
2009,Homicide,10793,,,,,,"{year: 2009, intent: ""Homicide"", count: 10793 }"
2009,Suicide,17723,,,,,,"{year: 2009, intent: ""Suicide"", count: 17723 }"
2009,Undetermined,215,,,,,,"{year: 2009, intent: ""Undetermined"", count: 215 }"
2010,Accidental,583,,,,,,"{year: 2010, intent: ""Accidental"", count: 583 }"
2010,Homicide,10858,,,,,,"{year: 2010, intent: ""Homicide"", count: 10858 }"
2010,Suicide,19047,,,,,,"{year: 2010, intent: ""Suicide"", count: 19047 }"
2010,Undetermined,243,,,,,,"{year: 2010, intent: ""Undetermined"", count: 243 }"
2011,Accidental,578,,,,,,"{year: 2011, intent: ""Accidental"", count: 578 }"
2011,Homicide,10911,,,,,,"{year: 2011, intent: ""Homicide"", count: 10911 }"
2011,Suicide,19710,,,,,,"{year: 2011, intent: ""Suicide"", count: 19710 }"
2011,Undetermined,244,,,,,,"{year: 2011, intent: ""Undetermined"", count: 244 }"
2012,Accidental,533,,,,,,"{year: 2012, intent: ""Accidental"", count: 533 }"
2012,Homicide,11467,,,,,,"{year: 2012, intent: ""Homicide"", count: 11467 }"
2012,Suicide,20360,,,,,,"{year: 2012, intent: ""Suicide"", count: 20360 }"
2012,Undetermined,255,,,,,,"{year: 2012, intent: ""Undetermined"", count: 255 }"
2013,Accidental,490,,,,,,"{year: 2013, intent: ""Accidental"", count: 490 }"
2013,Homicide,11073,,,,,,"{year: 2013, intent: ""Homicide"", count: 11073 }"
2013,Suicide,20892,,,,,,"{year: 2013, intent: ""Suicide"", count: 20892 }"
2013,Undetermined,275,,,,,,"{year: 2013, intent: ""Undetermined"", count: 275 }"
2014,Accidental,575,,,,,,"{year: 2014, intent: ""Accidental"", count: 575 }"
2014,Homicide,10789,,,,,,"{year: 2014, intent: ""Homicide"", count: 10789 }"
2014,Suicide,21039,,,,,,"{year: 2014, intent: ""Suicide"", count: 21039 }"
2014,Undetermined,267,,,,,,"{year: 2014, intent: ""Undetermined"", count: 267 }"
2015,Accidental,482,,,,,,"{year: 2015, intent: ""Accidental"", count: 482 }"
2015,Homicide,12784,,,,,,"{year: 2015, intent: ""Homicide"", count: 12784 }"
2015,Suicide,21587,,,,,,"{year: 2015, intent: ""Suicide"", count: 21587 }"
2015,Undetermined,273,,,,,,"{year: 2015, intent: ""Undetermined"", count: 273 }"
2016,Accidental,489,,,,,,"{year: 2016, intent: ""Accidental"", count: 489 }"
2016,Homicide,14248,,,,,,"{year: 2016, intent: ""Homicide"", count: 14248 }"
2016,Suicide,22680,,,,,,"{year: 2016, intent: ""Suicide"", count: 22680 }"
2016,Undetermined,293,,,,,,"{year: 2016, intent: ""Undetermined"", count: 293 }"
2017,Accidental,482,,,,,,"{year: 2017, intent: ""Accidental"", count: 482 }"
2017,Homicide,14388,,,,,,"{year: 2017, intent: ""Homicide"", count: 14388 }"
2017,Suicide,23566,,,,,,"{year: 2017, intent: ""Suicide"", count: 23566 }"
2017,Undetermined,331,,,,,,"{year: 2017, intent: ""Undetermined"", count: 331 }"
2018,Accidental,453,,,,,,"{year: 2018, intent: ""Accidental"", count: 453 }"
2018,Homicide,13813,,,,,,"{year: 2018, intent: ""Homicide"", count: 13813 }"
2018,Suicide,24119,,,,,,"{year: 2018, intent: ""Suicide"", count: 24119 }"
2018,Undetermined,348,,,,,,"{year: 2018, intent: ""Undetermined"", count: 348 }"
2019,Accidental,476,,,,,,"{year: 2019, intent: ""Accidental"", count: 476 }"
2019,Homicide,14238,,,,,,"{year: 2019, intent: ""Homicide"", count: 14238 }"
2019,Suicide,23625,,,,,,"{year: 2019, intent: ""Suicide"", count: 23625 }"
2019,Undetermined,341,,,,,,"{year: 2019, intent: ""Undetermined"", count: 341 }"
2020,Accidental,529,,,,,,"{year: 2020, intent: ""Accidental"", count: 529 }"
2020,Homicide,19173,,,,,,"{year: 2020, intent: ""Homicide"", count: 19173 }"
2020,Suicide,24001,,,,,,"{year: 2020, intent: ""Suicide"", count: 24001 }"
2020,Undetermined,394,,,,,,"{year: 2020, intent: ""Undetermined"", count: 394 }"
